source,title,company,location,posted_at,description,url
prosple,"Data Analysts, Geospatial Analysts, Data Managers",Australian Bureau of Statistics (ABS),"Canberra, Adelaide, Brisbane, Geelong, Hobart, Melbourne, Newcastle, Perth & Sydney",,,https://au.prosple.com/graduate-employers/australian-bureau-of-statistics-abs/jobs-internships/data-analysts-geospatial-analysts-data-managers-1
prosple,Data Scientists,Australian Bureau of Statistics (ABS),"Canberra, Adelaide, Brisbane, Geelong, Hobart, Melbourne, Newcastle, Perth & Sydney",,,https://au.prosple.com/graduate-employers/australian-bureau-of-statistics-abs/jobs-internships/data-scientists-1
prosple,Graduate Program - Data Analytics,Allianz Australia,Sydney,,,https://au.prosple.com/graduate-employers/allianz-australia/jobs-internships/graduate-program-data-analytics
prosple,Data Graduate,Digital Transformation Agency,"Canberra, Adelaide, Brisbane, Melbourne, Perth, and Sydney",,,https://au.prosple.com/graduate-employers/digital-transformation-agency/jobs-internships/data-graduate-0
prosple,Data Analytics Graduate Program,McGrathNicol,"Brisbane, Melbourne, Sydney",,,https://au.prosple.com/graduate-employers/mcgrathnicol/jobs-internships/data-analytics-graduate-program-1
prosple,Data Science Internship Program,Readygrad,"Sydney, Brisbane, Adelaide, Melbourne, Perth",,,https://au.prosple.com/graduate-employers/readygrad/jobs-internships/data-science-internship-program
prosple,"Graduate Program - Engineering, Science, Technology, Health Science & Business",BHP,"Queensland, South Australia and Western Australia",,,https://au.prosple.com/graduate-employers/bhp/jobs-internships/graduate-program-engineering-science-technology-health-science-business
prosple,"Internship Program - Engineering, Science, Technology, Health Science & Business",BHP,"Queensland, South Australia and Western Australia",,,https://au.prosple.com/graduate-employers/bhp/jobs-internships/internship-program-engineering-science-technology-health-science-business
prosple,"Indigenous Internship Program - Engineering, Science, Technology, Health Science & Business",BHP,"Queensland, South Australia and Western Australia",,,https://au.prosple.com/graduate-employers/bhp/jobs-internships/indigenous-internship-program-engineering-science-technology-health-science-business
prosple,"Indigenous Graduate Program - Engineering, Science, Technology, Health Science & Business",BHP,"Queensland, South Australia and Western Australia",,,https://au.prosple.com/graduate-employers/bhp/jobs-internships/indigenous-graduate-program-engineering-science-technology-health-science-business
prosple,Computer Science Graduate,NSW Government,"Sydney and surrounds, including Parramatta, Central Coast, and Wollongong ",,,https://au.prosple.com/graduate-employers/nsw-government/jobs-internships/computer-science-graduate-1
prosple,Science Graduate Program,"Department of Health, Disability and Ageing ",Canberra,,,https://au.prosple.com/graduate-employers/department-of-health-disability-and-ageing/jobs-internships/science-graduate-program
prosple,Data Stream Graduate Program,Australian Government Career Pathways,"Adelaide, Bendigo, Brisbane, Canberra, Darwin, Geelong, Hobart, Melbourne, Newcastle, Orange, Perth, Sydney and Townsville",,,https://au.prosple.com/graduate-employers/australian-government-career-pathways/jobs-internships/data-stream-graduate-program-1
prosple,Data Science Summer Internship,Atlassian,Online/Remote,,,https://au.prosple.com/graduate-employers/atlassian/jobs-internships/data-science-summer-internship-1
prosple,Graduate Environmental Scientist,Alcoa Australia,"Perth & Huntly, WA",,,https://au.prosple.com/graduate-employers/alcoa-australia/jobs-internships/graduate-environmental-scientist
prosple,SAS Consultant Virtual Experience: Data Scientist,SAS ANZ,"Australia, Online/remote",,,https://au.prosple.com/graduate-employers/sas-anz/jobs-internships/sas-consultant-virtual-experience-data-scientist
prosple,"Research Scientist Intern, PhD",Google AU,Sydney (Hybrid),,,https://au.prosple.com/graduate-employers/google-au/jobs-internships/research-scientist-intern-phd-0
prosple,Management Trainee Program – Data & Analytics Stream,L'Oréal Australia and New Zealand,Melbourne,,,https://au.prosple.com/graduate-employers/loreal-australia-and-new-zealand/jobs-internships/management-trainee-program-data-analytics-stream-0
prosple,Data Analyst,The Data School,Australia,,,https://au.prosple.com/graduate-employers/the-data-school/jobs-internships/data-analyst
prosple,SAS Workforce Connection Program,SAS ANZ,"Sydney, Melbourne, Brisbane, Perth or Canberra",,,https://au.prosple.com/graduate-employers/sas-anz/jobs-internships/sas-workforce-connection-program
prosple,Management Trainee Program – Supply Chain & Operations Stream,L'Oréal Australia and New Zealand,Melbourne ,,,https://au.prosple.com/graduate-employers/loreal-australia-and-new-zealand/jobs-internships/management-trainee-program-supply-chain-operations-stream-1
prosple,Management Trainee Program – Commercial Stream,L'Oréal Australia and New Zealand,Melbourne,,,https://au.prosple.com/graduate-employers/loreal-australia-and-new-zealand/jobs-internships/management-trainee-program-commercial-stream-0
